Protein IDs,Majority protein IDs,Peptide counts (all),Peptide counts (razor+unique),Peptide counts (unique),Protein names,Gene names,Fasta headers,Number of proteins,Peptides,Razor + unique peptides,Unique peptides,Peptides sample_1,Peptides sample_10,Peptides sample_11,Peptides sample_12,Peptides sample_13,Peptides sample_14,Peptides sample_2,Peptides sample_3,Peptides sample_4,Peptides sample_5,Peptides sample_6,Peptides sample_7,Peptides sample_8,Peptides sample_9,Razor + unique peptides sample_1,Razor + unique peptides sample_10,Razor + unique peptides sample_11,Razor + unique peptides sample_12,Razor + unique peptides sample_13,Razor + unique peptides sample_14,Razor + unique peptides sample_2,Razor + unique peptides sample_3,Razor + unique peptides sample_4,Razor + unique peptides sample_5,Razor + unique peptides sample_6,Razor + unique peptides sample_7,Razor + unique peptides sample_8,Razor + unique peptides sample_9,Unique peptides sample_1,Unique peptides sample_10,Unique peptides sample_11,Unique peptides sample_12,Unique peptides sample_13,Unique peptides sample_14,Unique peptides sample_2,Unique peptides sample_3,Unique peptides sample_4,Unique peptides sample_5,Unique peptides sample_6,Unique peptides sample_7,Unique peptides sample_8,Unique peptides sample_9,Sequence coverage [%],Unique + razor sequence coverage [%],Unique sequence coverage [%],Mol. weight [kDa],Sequence length,Sequence lengths,Fraction average,Fraction 1,Experiment sample_1,Experiment sample_10,Experiment sample_11,Experiment sample_12,Experiment sample_13,Experiment sample_14,Experiment sample_2,Experiment sample_3,Experiment sample_4,Experiment sample_5,Experiment sample_6,Experiment sample_7,Experiment sample_8,Experiment sample_9,PEP,Ratio H/L,Ratio H/L normalized,Ratio H/L variability [%],Ratio H/L count,Ratio H/L sample_1,Ratio H/L normalized sample_1,Ratio H/L variability [%] sample_1,Ratio H/L count sample_1,Ratio H/L sample_10,Ratio H/L normalized sample_10,Ratio H/L variability [%] sample_10,Ratio H/L count sample_10,Ratio H/L sample_11,Ratio H/L normalized sample_11,Ratio H/L variability [%] sample_11,Ratio H/L count sample_11,Ratio H/L sample_12,Ratio H/L normalized sample_12,Ratio H/L variability [%] sample_12,Ratio H/L count sample_12,Ratio H/L sample_13,Ratio H/L normalized sample_13,Ratio H/L variability [%] sample_13,Ratio H/L count sample_13,Ratio H/L sample_14,Ratio H/L normalized sample_14,Ratio H/L variability [%] sample_14,Ratio H/L count sample_14,Ratio H/L sample_2,Ratio H/L normalized sample_2,Ratio H/L variability [%] sample_2,Ratio H/L count sample_2,Ratio H/L sample_3,Ratio H/L normalized sample_3,Ratio H/L variability [%] sample_3,Ratio H/L count sample_3,Ratio H/L sample_4,Ratio H/L normalized sample_4,Ratio H/L variability [%] sample_4,Ratio H/L count sample_4,Ratio H/L sample_5,Ratio H/L normalized sample_5,Ratio H/L variability [%] sample_5,Ratio H/L count sample_5,Ratio H/L sample_6,Ratio H/L normalized sample_6,Ratio H/L variability [%] sample_6,Ratio H/L count sample_6,Ratio H/L sample_7,Ratio H/L normalized sample_7,Ratio H/L variability [%] sample_7,Ratio H/L count sample_7,Ratio H/L sample_8,Ratio H/L normalized sample_8,Ratio H/L variability [%] sample_8,Ratio H/L count sample_8,Ratio H/L sample_9,Ratio H/L normalized sample_9,Ratio H/L variability [%] sample_9,Ratio H/L count sample_9,Sequence coverage sample_1 [%],Sequence coverage sample_10 [%],Sequence coverage sample_11 [%],Sequence coverage sample_12 [%],Sequence coverage sample_13 [%],Sequence coverage sample_14 [%],Sequence coverage sample_2 [%],Sequence coverage sample_3 [%],Sequence coverage sample_4 [%],Sequence coverage sample_5 [%],Sequence coverage sample_6 [%],Sequence coverage sample_7 [%],Sequence coverage sample_8 [%],Sequence coverage sample_9 [%],Intensity,Intensity L,Intensity H,Intensity sample_1,Intensity L sample_1,Intensity H sample_1,Intensity sample_10,Intensity L sample_10,Intensity H sample_10,Intensity sample_11,Intensity L sample_11,Intensity H sample_11,Intensity sample_12,Intensity L sample_12,Intensity H sample_12,Intensity sample_13,Intensity L sample_13,Intensity H sample_13,Intensity sample_14,Intensity L sample_14,Intensity H sample_14,Intensity sample_2,Intensity L sample_2,Intensity H sample_2,Intensity sample_3,Intensity L sample_3,Intensity H sample_3,Intensity sample_4,Intensity L sample_4,Intensity H sample_4,Intensity sample_5,Intensity L sample_5,Intensity H sample_5,Intensity sample_6,Intensity L sample_6,Intensity H sample_6,Intensity sample_7,Intensity L sample_7,Intensity H sample_7,Intensity sample_8,Intensity L sample_8,Intensity H sample_8,Intensity sample_9,Intensity L sample_9,Intensity H sample_9
P33201,P33201,4,4,4,mRNA turnover protein 4,MRT4,>sp|P33201|MRT4_YEAST mRNA turnover protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MRT4 PE=1 SV=1,1,4,4,4,1,2,1,2,1,1,3,2,2,1,2,3,3,2,1,2,1,2,1,1,3,2,2,1,2,3,3,2,1,2,1,2,1,1,3,2,2,1,2,3,3,2,30.1,30.1,30.1,27.058,236,236,1,34,1,2,1,2,1,2,3,3,4,2,3,3,4,3,1.67E-20,0.89415,0.93055,15.547,33,NaN,NaN,NaN,1,1.0906,1.0051,1.3568,2,NaN,NaN,NaN,1,1.0606,0.98031,19.78,2,NaN,NaN,NaN,1,0.92664,0.96564,0.32681,2,0.8757,0.83769,9.5031,3,0.89415,0.89444,5.8549,3,0.81262,0.84766,14.952,4,0.87754,0.91752,11.393,2,1.0352,0.95311,2.7127,2,0.71088,0.84447,26.91,3,1.1115,0.99007,19.221,4,0.78999,0.71028,20.753,3,4.2,9.7,4.2,9.7,4.2,4.2,14,9.7,20.3,4.2,9.7,25.8,25.8,20.3,1202800000,608020000,594820000,47623000,23383000,24241000,25766000,12852000,12914000,33619000,19299000,14320000,19357000,9403800,9952800,9798100,5280500,4517600,127070000,66555000,60516000,12560000,6113900,6445900,217560000,116170000,101380000,223810000,109640000,114170000,67653000,33561000,34092000,25579000,12327000,13252000,92506000,45828000,46678000,40089000,20444000,19645000,259840000,127160000,132690000
P33202,P33202,7,7,7,Ubiquitin fusion degradation protein 4,UFD4,>sp|P33202|UFD4_YEAST Ubiquitin fusion degradation protein 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UFD4 PE=1 SV=1,1,7,7,7,3,5,2,1,1,3,0,2,2,4,1,3,2,4,3,5,2,1,1,3,0,2,2,4,1,3,2,4,3,5,2,1,1,3,0,2,2,4,1,3,2,4,5.1,5.1,5.1,167.84,1483,1483,1,44,4,8,2,1,2,5,,3,2,5,1,3,2,6,1.69E-27,0.68604,0.7042,53.936,28,0.68378,0.72176,16.014,2,0.67121,0.65874,60.253,5,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1.0751,1.0084,0.16339,2,0.53219,0.53679,0.72358,4,NaN,NaN,NaN,0,0.66303,0.69751,6.3143,2,0.24759,0.24326,170.78,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.65361,0.79344,18.798,2,NaN,NaN,NaN,1,0.84781,0.81981,22.105,4,2.1,3.4,1.7,0.7,1.2,1.9,0,1.4,2,2.2,0.7,2.2,2,2.4,410910000,230000000,180910000,27544000,15096000,12447000,90671000,53348000,37324000,18967000,11724000,7243500,13569000,8502900,5066300,13851000,7264500,6587000,75225000,41663000,33562000,0,0,0,63332000,33047000,30286000,22316000,17133000,5183600,29284000,14846000,14438000,18873000,7708500,11164000,7789800,4184500,3605300,1827000,832720,994230,27662000,14654000,13008000
P33204,P33204,2,2,2,Actin-related protein 2/3 complex subunit 4,ARC19,>sp|P33204|ARPC4_YEAST Actin-related protein 2/3 complex subunit 4 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=ARC19 PE=1 SV=2,1,2,2,2,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,1,1,1,1,1,1,1,2,1,1,1,1,0,1,15.2,15.2,15.2,19.916,171,171,1,18,1,1,2,1,2,2,1,2,1,1,2,1,,1,1.60E-14,0.95835,1.0304,24.197,17,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.8283,1.1276,0,2,NaN,NaN,NaN,1,1.035,1.0304,0,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.64741,0.66831,56.824,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,1.1615,1.2311,0,2,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,1,7,7,7,7,7,7,7,15.2,7,7,7,7,0,7,474430000,242900000,231530000,47000000,26374000,20626000,26832000,13420000,13412000,39122000,21626000,17496000,8668900,4815000,3854000,19244000,9472100,9771500,92654000,44075000,48579000,7797800,5051800,2745900,139940000,75182000,64760000,4207300,2395500,1811900,41569000,16902000,24667000,28119000,11781000,16338000,8739000,5429700,3309300,0,0,0,10534000,6373400,4160900
P33296,P33296,1,1,1,Ubiquitin-conjugating enzyme E2 6,UBC6,>sp|P33296|UBC6_YEAST Ubiquitin-conjugating enzyme E2 6 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=UBC6 PE=1 SV=1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0,1,6.4,6.4,6.4,28.383,250,250,1,23,2,2,2,2,1,1,1,3,,4,2,,,3,2.19E-23,0.89798,0.9052,19.568,20,NaN,NaN,NaN,1,0.86571,0.84756,4.8373,2,0.68221,0.86033,37.364,2,0.74782,0.74367,9.2022,2,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.92333,1.0127,8.7613,3,NaN,NaN,NaN,0,0.93195,0.94071,12.73,4,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,0.69131,0.68009,5.8114,3,6.4,6.4,6.4,6.4,6.4,6.4,6.4,6.4,0,6.4,6.4,0,0,6.4,220020000,116000000,104010000,8196400,5020000,3176400,17901000,9083800,8817500,21609000,10838000,10771000,16537000,9875900,6661400,0,0,0,12251000,4661900,7588800,10244000,5951800,4291900,43475000,20620000,22855000,0,0,0,40627000,21720000,18907000,19605000,8281300,11324000,0,0,0,0,0,0,29569000,19948000,9621300
P33297,P33297,17,17,17,26S protease regulatory subunit 6A,RPT5,>sp|P33297|PRS6A_YEAST 26S protease regulatory subunit 6A OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT5 PE=1 SV=3,1,17,17,17,11,13,14,13,10,13,11,14,13,13,13,12,13,13,11,13,14,13,10,13,11,14,13,13,13,12,13,13,11,13,14,13,10,13,11,14,13,13,13,12,13,13,74.2,74.2,74.2,48.255,434,434,1,360,25,31,29,24,17,24,19,32,29,26,29,23,23,29,0,0.60294,0.60587,23.434,327,0.61033,0.65684,12.236,22,0.64611,0.59475,18.553,25,0.44312,0.56351,27.855,27,0.58961,0.57179,23.956,20,0.61954,0.60041,20.503,17,0.66031,0.65631,26.301,23,0.6381,0.63341,20.755,18,0.60528,0.63973,18.686,28,0.59795,0.6032,20.354,28,0.58834,0.60015,31.72,22,0.61752,0.60781,29.705,27,0.45944,0.56307,21.4,22,0.61691,0.56416,17.859,23,0.60294,0.57911,24.712,25,48.2,54.4,59.9,55.5,43.5,54.4,47.5,60.1,56.7,55.8,53.7,52.3,56.7,54.4,23324000000,14570000000,8754200000,1681700000,1024500000,657180000,1441200000,834940000,606230000,2300900000,1603100000,697880000,1659400000,1047300000,612180000,704310000,430090000,274230000,1746200000,1052100000,694020000,1153000000,729740000,423210000,2498100000,1551100000,946990000,2066200000,1286300000,779930000,1575800000,977320000,598470000,1955700000,1194800000,760870000,1567100000,1006100000,560990000,1344900000,824870000,520070000,1629300000,1007300000,621970000
P33298,P33298,8,8,8,26S protease regulatory subunit 6B homolog,RPT3,>sp|P33298|PRS6B_YEAST 26S protease regulatory subunit 6B homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT3 PE=1 SV=2,1,8,8,8,3,4,6,5,6,5,5,3,6,2,5,7,7,5,3,4,6,5,6,5,5,3,6,2,5,7,7,5,3,4,6,5,6,5,5,3,6,2,5,7,7,5,44.9,44.9,44.9,47.893,428,428,1,127,7,7,12,8,8,11,8,8,9,7,11,10,15,6,1.94E-198,0.65089,0.65322,19.596,118,0.63407,0.67112,3.5882,6,0.7485,0.6458,30.385,7,0.45393,0.58243,19.415,10,0.52777,0.51056,29.303,8,0.64559,0.62674,17.98,7,0.71051,0.68298,15.679,10,0.67257,0.6784,22.195,8,0.63522,0.63466,12.725,8,0.66096,0.66467,21.862,8,0.67113,0.67079,12.442,6,0.70043,0.69167,14.539,10,0.54378,0.6631,20.373,10,0.6903,0.64334,14.559,14,0.62955,0.6405,21.143,6,11.9,18.7,28.3,23.1,30.8,23.1,24.8,13.1,28.3,6.3,22.7,37.1,37.1,23.1,5239900000,3181300000,2058600000,448850000,285310000,163530000,393670000,233080000,160600000,544220000,361000000,183220000,323410000,207520000,115890000,141150000,88820000,52330000,540140000,309960000,230180000,198970000,116620000,82349000,556550000,327610000,228940000,287100000,165870000,121230000,305160000,175100000,130060000,413320000,240260000,173060000,379630000,254700000,124920000,464930000,267940000,196990000,242810000,147520000,95293000
P33299,P33299,7,7,7,26S protease regulatory subunit 7 homolog,RPT1,>sp|P33299|PRS7_YEAST 26S protease regulatory subunit 7 homolog OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=RPT1 PE=1 SV=1,1,7,7,7,4,5,5,6,5,4,5,5,4,4,4,6,5,3,4,5,5,6,5,4,5,5,4,4,4,6,5,3,4,5,5,6,5,4,5,5,4,4,4,6,5,3,26.6,26.6,26.6,51.982,467,467,1,155,7,14,12,17,9,13,11,10,9,11,9,10,13,10,1.38E-65,0.71911,0.70695,15.9,151,0.69464,0.75309,5.0562,6,0.78842,0.71859,9.8382,14,0.47831,0.61854,16.041,10,0.67576,0.62277,15.621,17,0.66923,0.63247,15.39,9,0.70288,0.71741,17.634,12,0.80299,0.76503,17.649,11,0.69433,0.73375,6.1505,10,0.83262,0.83707,15.218,9,0.71742,0.72101,18.788,11,0.74653,0.71828,12.8,9,0.56494,0.70323,21.827,10,0.78669,0.71211,11.685,13,0.72562,0.70419,8.3678,10,17.8,22.9,22.9,24.4,21.6,17.8,18.6,19.3,20.1,17.8,16.5,23.8,18.6,15,10593000000,6054800000,4538300000,611890000,327490000,284400000,889070000,494380000,394700000,881670000,573340000,308330000,995270000,578370000,416890000,401020000,241970000,159060000,659930000,350860000,309070000,607590000,325140000,282450000,777790000,444060000,333740000,682320000,340040000,342270000,784540000,469780000,314760000,611100000,333660000,277440000,1199900000,749890000,450020000,861830000,480460000,381370000,629150000,345370000,283780000
P33300,P33300,1,1,1,Mannosyl phosphorylinositol ceramide synthase SUR1,SUR1,>sp|P33300|SUR1_YEAST Mannosyl phosphorylinositol ceramide synthase SUR1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SUR1 PE=1 SV=1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,1,1,1,0,3.4,3.4,3.4,44.807,382,382,1,12,1,1,1,1,,,1,1,1,1,1,2,1,,0.00058101,0.83946,0.86816,16.654,12,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.59339,0.73029,0,2,NaN,NaN,NaN,1,NaN,NaN,NaN,0,3.4,3.4,3.4,3.4,0,0,3.4,3.4,3.4,3.4,3.4,3.4,3.4,0,132310000,75629000,56683000,6302100,3827200,2474900,7795500,4371400,3424100,6340000,3720700,2619300,9784600,5742800,4041800,0,0,0,0,0,0,7474500,3868500,3606000,8640700,4459800,4180900,6989600,3945800,3043800,10738000,6368700,4369600,8665600,4006700,4658900,46254000,28486000,17768000,13327000,6831800,6495500,0,0,0
P33302;Q04182,P33302,6;1,6;1,6;1,Pleiotropic ABC efflux transporter of multiple drugs,PDR5,>sp|P33302|PDR5_YEAST Pleiotropic ABC efflux transporter of multiple drugs OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=PDR5 PE=1 SV=1,2,6,6,6,2,2,2,0,1,5,1,3,0,3,2,3,1,1,2,2,2,0,1,5,1,3,0,3,2,3,1,1,2,2,2,0,1,5,1,3,0,3,2,3,1,1,5.2,5.2,5.2,170.44,1511,1511;1529,1,27,2,2,2,,1,5,1,4,,3,2,3,1,1,3.21E-19,1.9419,2.0284,40.934,24,2.2006,2.4044,15.026,2,1.7642,1.5663,39.98,2,1.5469,1.8899,30.719,2,NaN,NaN,NaN,0,NaN,NaN,NaN,1,1.0542,1.0792,20.095,5,NaN,NaN,NaN,1,2.5383,2.7768,37.082,3,NaN,NaN,NaN,0,2.511,2.528,34.171,3,NaN,NaN,NaN,1,2.9949,3.6175,17.983,3,NaN,NaN,NaN,1,NaN,NaN,NaN,0,1.5,1.4,1.5,0,0.8,4.4,0.7,2.8,0,2.1,1.5,2.1,0.7,0.7,301050000,109490000,191560000,30146000,9832800,20313000,28559000,12414000,16145000,22304000,8149200,14154000,0,0,0,8063200,3587000,4476200,73442000,37080000,36362000,2602500,958860,1643600,72903000,20746000,52157000,0,0,0,32297000,8194100,24103000,16464000,4088100,12376000,10599000,3179800,7418700,3673700,1261900,2411700,0,0,0
P33303,P33303,9,9,9,Succinate/fumarate mitochondrial transporter,SFC1,>sp|P33303|SFC1_YEAST Succinate/fumarate mitochondrial transporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=SFC1 PE=1 SV=2,1,9,9,9,7,4,5,3,4,5,4,6,4,7,4,5,7,5,7,4,5,3,4,5,4,6,4,7,4,5,7,5,7,4,5,3,4,5,4,6,4,7,4,5,7,5,37.3,37.3,37.3,35.34,322,322,1,97,9,8,6,6,4,6,6,9,5,10,6,6,8,8,3.27E-167,0.076074,0.081322,127.82,76,0.056731,0.062032,155.15,8,0.06442,0.055199,135.94,7,0.10812,0.14311,121.42,5,0.079791,0.073657,68.05,2,0.10496,0.10844,116.99,3,0.054028,0.051017,124.29,5,0.22402,0.22487,119.28,4,0.080899,0.086359,137.44,9,0.040835,0.042079,105.81,3,0.056935,0.057246,140.41,8,0.076074,0.073646,127.03,6,0.25854,0.3178,156.26,5,0.076107,0.069826,136.12,6,0.036438,0.030798,101.01,5,31.4,23,22.7,17.4,21.7,25.8,23,28.9,20.5,29.2,20.5,26.1,34.2,26.1,3506400000,3342000000,164480000,495100000,462600000,32500000,363200000,354250000,8955000,241990000,220020000,21962000,152010000,149550000,2455100,70113000,67305000,2808300,208750000,198990000,9761900,102350000,92160000,10190000,618160000,596570000,21590000,141560000,136260000,5301900,326380000,313690000,12697000,231170000,222440000,8731700,114650000,106260000,8392700,117480000,104990000,12496000,323530000,316890000,6638700
P33307,P33307,11,11,11,Importin alpha re-exporter,CSE1,>sp|P33307|CSE1_YEAST Importin alpha re-exporter OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSE1 PE=1 SV=2,1,11,11,11,7,8,7,6,5,9,4,7,6,6,9,5,4,8,7,8,7,6,5,9,4,7,6,6,9,5,4,8,7,8,7,6,5,9,4,7,6,6,9,5,4,8,18.4,18.4,18.4,109.35,960,960,1,110,12,8,7,7,5,10,5,12,7,7,11,5,5,9,6.06E-106,1.0433,1.0743,26.618,98,1.0671,1.1459,15.226,11,1.2754,1.1272,28.026,7,0.85627,1.1373,22.575,7,0.97396,0.93083,13.551,7,1.0658,0.95779,48.356,5,0.72618,0.72956,22.791,10,1.1457,1.1366,15.927,4,1.0243,1.0664,21.411,11,1.0915,1.0502,25.447,6,1.2241,1.2248,27.239,5,1.1282,1.0887,26.103,9,0.77655,0.93664,19.608,5,1.213,1.1061,24.648,4,1.2169,1.2614,30.499,7,10.6,14.7,11.8,10.4,8.8,14.9,6.5,11.5,10.3,10.9,15.8,8.8,6.5,13.9,3241200000,1645100000,1596100000,463490000,225600000,237900000,206130000,90718000,115410000,215640000,110300000,105340000,177160000,89686000,87471000,62099000,32292000,29807000,550880000,301910000,248970000,74845000,39375000,35470000,495920000,262450000,233470000,89265000,46201000,43065000,203000000,91919000,111080000,269480000,126990000,142490000,161930000,95452000,66475000,88939000,46971000,41968000,182410000,85195000,97219000
P33308,P33308,2,2,2,Mediator of RNA polymerase II transcription subunit 9,CSE2,>sp|P33308|MED9_YEAST Mediator of RNA polymerase II transcription subunit 9 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CSE2 PE=1 SV=1,1,2,2,2,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,0,0,0,1,0,0,0,0,2,0,0,0,1,1,26.8,26.8,26.8,17.376,149,149,1,5,,,,1,,,,,2,,,,1,1,2.40E-07,1.1898,1.1592,46.612,2,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,0,0,0,12.8,0,0,0,0,26.8,0,0,0,12.8,14.1,32911000,14153000,18757000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15363000,5295200,10068000,0,0,0,0,0,0,0,0,0,0,0,0,17547000,8858000,8689300
P33309,P33309,4,4,4,Protein DOM34,DOM34,>sp|P33309|DOM34_YEAST Protein DOM34 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=DOM34 PE=1 SV=2,1,4,4,4,2,2,1,2,1,3,1,1,0,2,2,1,1,2,2,2,1,2,1,3,1,1,0,2,2,1,1,2,2,2,1,2,1,3,1,1,0,2,2,1,1,2,14.2,14.2,14.2,44.057,386,386,1,28,3,3,2,3,1,4,1,2,,3,2,1,1,2,4.64E-15,0.52955,0.53645,23.402,27,0.52955,0.54828,8.2829,3,0.86323,0.80322,19.215,3,0.38909,0.48446,0.0076776,2,0.50807,0.49675,20.263,3,NaN,NaN,NaN,1,0.5106,0.49415,13.932,3,NaN,NaN,NaN,1,0.5797,0.60213,6.6445,2,NaN,NaN,NaN,0,0.45651,0.46389,12.906,3,0.50013,0.47793,16.334,2,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0.75518,0.70113,24.142,2,6.7,7.8,3.9,7.8,3.9,10.6,3.9,3.9,0,7.5,7.5,3.9,3.9,7.8,238460000,152490000,85972000,16500000,10504000,5996000,10433000,4962500,5470400,12803000,8850300,3952900,17710000,11322000,6387700,2071200,1429100,642120,40174000,24003000,16171000,2361500,1664300,697260,61070000,38627000,22443000,0,0,0,42004000,30021000,11984000,24256000,14854000,9401800,2633900,1831800,802080,1596200,879270,716930,4850000,3542200,1307800
P33311,P33311,7,7,7,"ATP-dependent permease MDL2, mitochondrial",MDL2,">sp|P33311|MDL2_YEAST ATP-dependent permease MDL2, mitochondrial OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=MDL2 PE=1 SV=3",1,7,7,7,4,5,4,2,0,5,2,4,1,4,2,1,1,2,4,5,4,2,0,5,2,4,1,4,2,1,1,2,4,5,4,2,0,5,2,4,1,4,2,1,1,2,14,14,14,85.136,773,773,1,46,5,5,5,3,,6,2,5,2,5,3,1,2,2,3.17E-72,0.43537,0.44429,55.431,41,0.42238,0.45662,14.323,5,0.55733,0.53351,67.402,4,0.33975,0.43307,11.6,4,0.49606,0.49058,6.4322,2,NaN,NaN,NaN,0,0.66864,0.67897,13.671,5,0.59987,0.58289,14.101,2,0.44827,0.48375,133.48,5,0.3755,0.34702,27.236,2,0.37802,0.36686,9.6457,5,0.38381,0.37578,7.1988,3,NaN,NaN,NaN,1,0.41407,0.36132,5.6906,2,NaN,NaN,NaN,1,8.4,10,7,3,0,9.7,4.4,7.8,1.7,8.4,4.4,1.7,1.7,3,1225700000,586260000,639480000,149020000,96563000,52453000,120730000,55092000,65633000,131750000,88042000,43711000,4106300,2494800,1611500,0,0,0,119910000,66356000,53550000,37774000,19786000,17988000,445370000,111000000,334370000,1780200,1150000,630250,134340000,89328000,45012000,75738000,53119000,22619000,1211400,760740,450660,2552300,1653300,899020,1463900,909320,554610
P33313,P33313,5,5,5,Hsp70/Hsp90 co-chaperone CNS1,CNS1,>sp|P33313|CNS1_YEAST Hsp70/Hsp90 co-chaperone CNS1 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=CNS1 PE=1 SV=1,1,5,5,5,2,1,2,2,1,3,2,4,2,2,2,2,2,2,2,1,2,2,1,3,2,4,2,2,2,2,2,2,2,1,2,2,1,3,2,4,2,2,2,2,2,2,11.4,11.4,11.4,44.112,385,385,1,32,3,1,2,2,1,3,2,5,2,2,3,2,2,2,2.54E-16,0.78816,0.79216,32.031,30,0.66478,0.72726,7.1413,3,NaN,NaN,NaN,1,0.72764,0.84552,9.9679,2,0.9827,0.84496,8.377,2,NaN,NaN,NaN,1,1.2611,1.2908,27.038,2,0.5033,0.48527,6.8417,2,0.62187,0.63571,33.169,4,0.69655,0.64851,39.148,2,0.76123,0.74808,39.027,2,1.0984,1.1042,44.513,3,0.59025,0.68586,49.957,2,0.67662,0.61269,18.072,2,0.70529,0.66976,36.962,2,5.5,2.3,5.5,5.5,2.3,9.6,4.9,7.3,4.2,5.5,5.5,5.5,5.5,5.5,388780000,198110000,190670000,70035000,40898000,29137000,18156000,7075200,11081000,21553000,10579000,10974000,12518000,5938300,6580100,2275100,1203600,1071500,56762000,22358000,34403000,3963300,2533700,1429600,102770000,55749000,47019000,2876200,1654900,1221300,41445000,20953000,20493000,32270000,15976000,16294000,5965700,2906700,3059000,7438600,4434000,3004600,10758000,5854300,4903500
P33314,P33314,5,5,5,Inhibitory regulator protein BUD2/CLA2,BUD2,>sp|P33314|BUD2_YEAST Inhibitory regulator protein BUD2/CLA2 OS=Saccharomyces cerevisiae (strain ATCC 204508 / S288c) GN=BUD2 PE=1 SV=2,1,5,5,5,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,6.8,6.8,6.8,126.66,1104,1104,1,5,,,,1,,1,,1,,,,,1,1,1.52E-10,2.3383,2.2894,134.4,2,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,0,NaN,NaN,NaN,1,NaN,NaN,NaN,1,0,0,0,1.7,0,1.4,0,0.8,0,0,0,0,1.4,1.4,14103000,5773200,8330100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4589800,654770,3935000,9513600,5118400,4395200
